Adsorbate 1,Adsorbate 2,num of NM atoms 1,num of NM atoms 2,num of H 1,num of H 2,Atomic num 1,Atomic num 2,PE 1,PE 2,Covalent Radius 1,Covalent Radius 2,FIE 1,FIE 2,IE 1,IE 2,EA 1,EA 2,VdW Radius 1,VdW Radius 2,num of Valence Electron 1,num of Valence Electron 2,num of Atoms,num of H,Average Atomic num,Average PE,Average Covalent Radius,Average FIE,Average IE,Average EA,Average VdW Radius,Average num of Valence Electron,PE 1 minus PE 2,PE 1 add PE 2,Covalent Radius 1 minus Covalent Radius 2,Covalent Radius 1 add Covalent Radius 2,VdW Radius 1 minus VdW Radius 2,VdW Radius 1 add VdW Radius 2,FIE 1 minus FIE 2,FIE 1 add FIE 2,EA 1 minus EA 2,EA 1 add EA 2,num of Valence 1 minus num of Valence 2,num of Valence 1 add num of Valence 2,IE 1 minus IE 2,IE 1 add IE 2,Average EA of Adsorbates squared,Average PE of Adsorbates squared,Average Covalent Radius of Adosrbates squared,Average FIE of Adsorbates squared,Average VdW Radius squared,Average Atomic num of Adsorbates squared,Average num of Valence Electron squared,Average IE squared,G_C2O2 - Gco,G_CHO - Gco,Difference
O,O,1.00,1.00,0.00,0.00,8.00,8.00,3.44,3.44,0.63,0.63,13.62,13.62,13.62,13.62,1.46,1.46,1.52,1.52,6.00,6.00,1.00,0.00,8.00,3.44,0.63,13.62,13.62,1.46,1.52,6.00,0.00,6.88,0.00,1.26,0.00,3.04,0.00,27.24,0.00,2.92,0.00,12.00,0.00,27.24,2.13,11.83,0.40,185.45,2.31,64.00,36.00,185.50,-0.01526 ,0.17026 ,-0.18552 
O,OH,1.00,2.00,0.00,1.00,8.00,4.50,3.44,2.82,0.63,0.48,13.62,13.61,13.62,13.02,1.46,1.11,1.52,1.36,6.00,7.00,1.50,0.50,6.25,3.13,0.56,13.61,13.32,1.28,1.44,6.50,0.62,6.26,0.15,1.11,0.16,2.88,0.01,27.23,0.35,2.57,1.00,13.00,0.60,26.64,1.65,9.80,0.31,185.31,2.07,39.06,42.25,177.42,0.06446 ,0.29583 ,-0.23137 
O,N,1.00,1.00,0.00,0.00,8.00,7.00,3.44,3.04,0.63,0.71,13.62,14.53,13.62,14.53,1.46,-0.07,1.52,1.55,6.00,5.00,1.00,0.00,7.50,3.24,0.67,14.08,14.08,0.70,1.54,5.50,0.40,6.48,0.08,1.34,0.03,3.07,0.92,28.15,1.53,1.39,1.00,11.00,0.91,28.15,0.48,10.50,0.45,198.13,2.36,56.25,30.25,198.11,,,
O,NH,1.00,2.00,0.00,1.00,8.00,4.00,3.44,2.62,0.63,0.52,13.62,14.07,13.62,12.80,1.46,0.34,1.52,1.38,6.00,6.00,1.50,0.50,6.00,3.03,0.58,13.84,13.21,0.90,1.45,6.00,0.82,6.06,0.11,1.15,0.15,2.90,0.45,27.68,1.12,1.80,0.00,12.00,0.82,26.42,0.81,9.18,0.33,191.60,2.10,36.00,36.00,174.50,,,
O,NH2,1.00,3.00,0.00,2.00,8.00,3.00,3.44,2.48,0.63,0.45,13.62,13.91,13.62,10.78,1.46,0.48,1.52,1.32,6.00,7.00,2.00,1.00,5.50,2.96,0.54,13.76,12.20,0.97,1.42,6.50,0.96,5.92,0.18,1.08,0.20,2.84,0.29,27.53,0.98,1.94,1.00,13.00,2.84,24.40,0.94,8.76,0.29,189.45,2.01,30.25,42.25,148.84,,,
O,NH3,1.00,4.00,0.00,3.00,8.00,2.50,3.44,2.41,0.63,0.42,13.62,13.83,13.62,10.07,1.46,0.55,1.52,1.29,6.00,8.00,2.50,1.50,5.25,2.93,0.53,13.73,11.85,1.00,1.40,7.00,1.03,5.85,0.21,1.05,0.23,2.81,0.21,27.45,0.91,2.01,2.00,14.00,3.55,23.69,1.01,8.56,0.28,188.38,1.97,27.56,49.00,140.30,,,
O,C,1.00,1.00,0.00,0.00,8.00,6.00,3.44,2.55,0.63,0.75,13.62,11.26,13.62,11.26,1.46,1.26,1.52,1.70,6.00,4.00,1.00,0.00,7.00,3.00,0.69,12.44,12.44,1.36,1.61,5.00,0.89,5.99,0.12,1.38,0.18,3.22,2.36,24.88,0.20,2.72,2.00,10.00,2.36,24.88,1.85,8.97,0.48,154.73,2.59,49.00,25.00,154.75,,,
O,CH,1.00,2.00,0.00,1.00,8.00,3.50,3.44,2.38,0.63,0.54,13.62,12.43,13.62,10.64,1.46,1.01,1.52,1.45,6.00,5.00,1.50,0.50,5.75,2.91,0.59,13.02,12.13,1.23,1.49,5.50,1.07,5.82,0.09,1.17,0.07,2.97,1.19,26.05,0.45,2.47,1.00,11.00,2.98,24.26,1.52,8.45,0.34,169.61,2.21,33.06,30.25,147.14,,,
O,CH2,1.00,3.00,0.00,2.00,8.00,2.67,3.44,2.32,0.63,0.46,13.62,12.82,13.62,10.40,1.46,0.92,1.52,1.37,6.00,6.00,2.00,1.00,5.33,2.88,0.55,13.22,12.01,1.19,1.44,6.00,1.12,5.76,0.17,1.09,0.15,2.89,0.80,26.44,0.54,2.38,0.00,12.00,3.22,24.02,1.42,8.28,0.30,174.72,2.08,28.44,36.00,144.24,,,
O,CH3,1.00,4.00,0.00,3.00,8.00,2.25,3.44,2.29,0.63,0.43,13.62,13.01,13.62,9.84,1.46,0.88,1.52,1.33,6.00,7.00,2.50,1.50,5.13,2.86,0.53,13.32,11.73,1.17,1.42,6.50,1.15,5.73,0.20,1.06,0.20,2.85,0.60,26.63,0.58,2.34,1.00,13.00,3.78,23.46,1.37,8.20,0.28,177.31,2.02,26.27,42.25,137.59,,,
O,S,1.00,1.00,0.00,0.00,8.00,16.00,3.44,2.58,0.63,1.03,13.62,10.36,13.62,10.36,1.46,2.08,1.52,1.80,6.00,6.00,1.00,0.00,12.00,3.01,0.83,11.99,11.99,1.77,1.66,6.00,0.86,6.02,0.40,1.66,0.28,3.32,3.26,23.98,0.62,3.54,0.00,12.00,3.26,23.98,3.13,9.06,0.69,143.74,2.76,144.00,36.00,143.76,,,
O,SH,1.00,2.00,0.00,1.00,8.00,8.50,3.44,2.39,0.63,0.68,13.62,11.98,13.62,10.42,1.46,1.42,1.52,1.50,6.00,7.00,1.50,0.50,8.25,2.92,0.66,12.80,12.02,1.44,1.51,6.50,1.05,5.83,0.05,1.31,0.02,3.02,1.64,25.60,0.05,2.88,1.00,13.00,3.20,24.04,2.07,8.50,0.43,163.80,2.28,68.06,42.25,144.48,,,
O,SH2,1.00,3.00,0.00,2.00,8.00,6.00,3.44,2.33,0.63,0.56,13.62,12.52,13.62,10.46,1.46,1.20,1.52,1.40,6.00,8.00,2.00,1.00,7.00,2.88,0.60,13.07,12.04,1.33,1.46,7.00,1.11,5.77,0.07,1.19,0.12,2.92,1.10,26.14,0.27,2.66,2.00,14.00,3.16,24.08,1.76,8.31,0.35,170.78,2.13,49.00,49.00,144.96,,,
