,# Features,GBR,KNR,RFR,SVR,RR,XGBR,LightGBM,Time
1,52,"[0.0251, 0.0337]","[0.0631, 0.0759]","[0.0474, 0.0609]","[0.0738, 0.0865]","[0.071, 0.0874]","[0.031, 0.0431]","[0.0619, 0.0749]",42.85381579399109
2,45,"[0.0258, 0.0347]","[0.0629, 0.0757]","[0.0478, 0.0613]","[0.0738, 0.0865]","[0.0748, 0.0919]","[0.031, 0.043]","[0.0619, 0.075]",39.68471145629883
3,38,"[0.0264, 0.0355]","[0.0731, 0.0836]","[0.0485, 0.0621]","[0.0789, 0.0927]","[0.0767, 0.0945]","[0.031, 0.043]","[0.0619, 0.0752]",37.6733455657959
4,29,"[0.0253, 0.0342]","[0.0736, 0.0853]","[0.0472, 0.0607]","[0.0791, 0.0929]","[0.0763, 0.0935]","[0.0303, 0.0426]","[0.0606, 0.0733]",35.37160682678223
5,19,"[0.022, 0.03]","[0.0705, 0.0825]","[0.043, 0.0555]","[0.0767, 0.0909]","[0.072, 0.0885]","[0.025, 0.0361]","[0.0595, 0.072]",32.52922296524048
6,8,"[0.0288, 0.038]","[0.0701, 0.0858]","[0.0446, 0.0562]","[0.0777, 0.0926]","[0.0719, 0.0853]","[0.0239, 0.0356]","[0.067, 0.083]",29.5518057346344
7,7,"[0.0268, 0.0352]","[0.0751, 0.0913]","[0.0442, 0.0554]","[0.0797, 0.0999]","[0.0672, 0.0853]","[0.0219, 0.0315]","[0.0641, 0.0804]",29.19563937187195
8,6,"[0.0275, 0.0365]","[0.0761, 0.0918]","[0.0445, 0.0556]","[0.0802, 0.1002]","[0.0683, 0.0866]","[0.0223, 0.0308]","[0.0634, 0.079]",29.300541162490845
9,5,"[0.0208, 0.0277]","[0.0694, 0.0825]","[0.0398, 0.0484]","[0.0795, 0.0989]","[0.0668, 0.0848]","[0.017, 0.0248]","[0.0629, 0.0784]",28.71724224090576
10,4,"[0.037, 0.0487]","[0.0727, 0.0827]","[0.0455, 0.057]","[0.074, 0.0918]","[0.0663, 0.0847]","[0.0315, 0.0425]","[0.0626, 0.0782]",28.680437088012695
