,Adsorbate 1,Adsorbate 2,num of Atoms,Average Atomic num,Average PE,Average Covalent Radius,Average FIE,Average EA,Average num of Valence Electron,PE 1 minus PE 2,Covalent Radius 1 minus Covalent Radius 2,VdW Radius 1 minus VdW Radius 2,FIE 1 minus FIE 2,EA 1 minus EA 2,num of Valence 1 minus num of Valence 2,Average VdW Radius squared,Difference,Gdiff_ML,Gdiff_Final
0,O,O,1.0,8.0,3.44,0.63,13.62,1.46,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,-0.18552000000000002,-0.21038752794265747,-0.18552000000000002
1,O,OH,1.5,6.25,3.13,0.56,13.61,1.28,6.5,0.62,0.15,0.16,0.01,0.35,1.0,2.07,-0.23137,-0.23127122223377228,-0.23137
2,O,N,1.0,7.5,3.24,0.67,14.08,0.7,5.5,0.4,0.08,0.03,0.92,1.53,1.0,2.36,,-0.21516446769237518,-0.21516446769237518
3,O,NH,1.5,6.0,3.03,0.58,13.84,0.9,6.0,0.82,0.11,0.15,0.45,1.12,0.0,2.1,,-0.21027781069278717,-0.21027781069278717
4,O,NH2,2.0,5.5,2.96,0.54,13.76,0.97,6.5,0.96,0.18,0.2,0.29,0.98,1.0,2.01,,-0.19009262323379517,-0.19009262323379517
5,O,NH3,2.5,5.25,2.93,0.53,13.73,1.0,7.0,1.03,0.21,0.23,0.21,0.91,2.0,1.97,,0.04609870910644531,0.04609870910644531
6,O,C,1.0,7.0,3.0,0.69,12.44,1.36,5.0,0.89,0.12,0.18,2.36,0.2,2.0,2.59,,0.005745064467191696,0.005745064467191696
7,O,CH,1.5,5.75,2.91,0.59,13.02,1.23,5.5,1.07,0.09,0.07,1.19,0.45,1.0,2.21,,-0.2028530240058899,-0.2028530240058899
8,O,CH2,2.0,5.33,2.88,0.55,13.22,1.19,6.0,1.12,0.17,0.15,0.8,0.54,0.0,2.08,,-0.2259620875120163,-0.2259620875120163
9,O,CH3,2.5,5.13,2.86,0.53,13.32,1.17,6.5,1.15,0.2,0.2,0.6,0.58,1.0,2.02,,-0.2644451856613159,-0.2644451856613159
10,O,S,1.0,12.0,3.01,0.83,11.99,1.77,6.0,0.86,0.4,0.28,3.26,0.62,0.0,2.76,,-0.01410716399550438,-0.01410716399550438
11,O,SH,1.5,8.25,2.92,0.66,12.8,1.44,6.5,1.05,0.05,0.02,1.64,0.05,1.0,2.28,,-0.14540506899356842,-0.14540506899356842
12,O,SH2,2.0,7.0,2.88,0.6,13.07,1.33,7.0,1.11,0.07,0.12,1.1,0.27,2.0,2.13,,0.01011198852211237,0.01011198852211237
13,O,F,1.0,8.5,3.71,0.64,15.52,2.43,6.5,0.54,0.01,0.05,3.8,1.94,1.0,2.24,,-0.16162137687206268,-0.16162137687206268
14,O,Cl,1.0,12.5,3.3,0.81,13.29,2.54,6.5,0.28,0.36,0.23,0.65,2.15,1.0,2.67,-0.15136,-0.15157289803028107,-0.15136
15,O,Br,1.0,21.5,3.2,0.89,12.72,2.41,6.5,0.48,0.51,0.33,1.8,1.9,1.0,2.84,,-0.03151671588420868,-0.03151671588420868
16,O,I,1.0,30.5,3.05,0.98,12.03,2.26,6.5,0.78,0.7,0.46,3.17,1.6,1.0,3.06,,-0.042521633207798004,-0.042521633207798004
17,OH,O,1.5,6.25,3.13,0.56,13.61,1.28,6.5,0.62,0.15,0.16,0.01,0.35,1.0,2.07,-0.23137,-0.23127122223377228,-0.23137
18,OH,OH,2.0,4.5,2.82,0.48,13.61,1.11,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,-0.28251,-0.282089501619339,-0.28251
19,OH,N,1.5,5.75,2.93,0.6,14.07,0.52,6.0,0.22,0.23,0.19,0.93,1.18,2.0,2.12,,-0.13717976212501526,-0.13717976212501526
20,OH,NH,2.0,4.25,2.72,0.5,13.84,0.72,6.5,0.2,0.04,0.02,0.46,0.77,1.0,1.87,,-0.16783592104911804,-0.16783592104911804
21,OH,NH2,2.5,3.75,2.65,0.47,13.76,0.79,7.0,0.34,0.03,0.04,0.3,0.63,0.0,1.79,,-0.24249716103076935,-0.24249716103076935
22,OH,NH3,3.0,3.5,2.62,0.45,13.72,0.83,7.5,0.41,0.06,0.07,0.22,0.56,1.0,1.75,-0.22033000000000003,-0.22152337431907654,-0.22033000000000003
