,Adsorbate 1,Adsorbate 2,Average Atomic num,Average PE,Average IE,Average num of Valence Electron,PE 1 minus PE 2,Covalent Radius 1 minus Covalent Radius 2,num of Valence 1 minus num of Valence 2,G_CHO - Gco,Ghyd_ML,Ghyd_Final
0,O,O,8.0,3.44,13.62,6.0,0.0,0.0,0.0,0.17026,0.17038004100322723,0.17026
1,O,OH,6.25,3.13,13.32,6.5,0.62,0.15,-1.0,0.29583000000000004,0.29507681727409363,0.29583000000000004
2,O,N,7.5,3.24,14.08,5.5,0.4,-0.08,1.0,,0.07166656851768494,0.07166656851768494
3,O,NH,6.0,3.03,13.21,6.0,0.82,0.11,0.0,,0.14351479709148407,0.14351479709148407
4,O,NH2,5.5,2.96,12.2,6.5,0.96,0.18,-1.0,,0.273701936006546,0.273701936006546
5,O,NH3,5.25,2.93,11.85,7.0,1.03,0.21,-2.0,,0.35014012455940247,0.35014012455940247
6,O,C,7.0,3.0,12.44,5.0,0.89,-0.12,2.0,,0.07666974514722824,0.07666974514722824
7,O,CH,5.75,2.91,12.13,5.5,1.07,0.09,1.0,,0.11458119750022888,0.11458119750022888
8,O,CH2,5.33,2.88,12.01,6.0,1.12,0.17,0.0,,0.13087694346904755,0.13087694346904755
9,O,CH3,5.13,2.86,11.73,6.5,1.15,0.2,-1.0,,0.347621351480484,0.347621351480484
10,O,S,12.0,3.01,11.99,6.0,0.86,-0.4,0.0,,0.09978803247213364,0.09978803247213364
11,O,SH,8.25,2.92,12.02,6.5,1.05,-0.05,-1.0,,0.23473986983299255,0.23473986983299255
12,O,SH2,7.0,2.88,12.04,7.0,1.11,0.07,-2.0,,0.23168323934078217,0.23168323934078217
13,O,F,8.5,3.71,15.52,6.5,-0.54,-0.01,-1.0,,0.24167367815971375,0.24167367815971375
14,O,Cl,12.5,3.3,13.3,6.5,0.28,-0.36,-1.0,0.30107,0.3009641468524933,0.30107
15,O,Br,21.5,3.2,12.72,6.5,0.48,-0.51,-1.0,,0.265440434217453,0.265440434217453
16,O,I,30.5,3.05,12.04,6.5,0.78,-0.7,-1.0,,0.25094982981681824,0.25094982981681824
17,OH,O,6.25,3.13,13.32,6.5,-0.62,-0.15,1.0,0.29583000000000004,0.29619503021240234,0.29583000000000004
18,OH,OH,4.5,2.82,13.02,7.0,0.0,0.0,0.0,0.48339,0.4807896316051483,0.48339
19,OH,N,5.75,2.93,13.78,6.0,-0.22,-0.23,2.0,,0.12880492210388184,0.12880492210388184
20,OH,NH,4.25,2.72,12.91,6.5,0.2,-0.04,1.0,,0.3178959786891937,0.3178959786891937
21,OH,NH2,3.75,2.65,11.9,7.0,0.34,0.03,0.0,,0.1861530840396881,0.1861530840396881
22,OH,NH3,3.5,2.62,11.55,7.5,0.41,0.06,-1.0,0.12011,0.11979841440916061,0.12011
23,OH,C,5.25,2.69,12.14,5.5,0.27,-0.27,3.0,0.15317,0.15339155495166779,0.15317
24,OH,CH,4.0,2.6,11.83,6.0,0.45,-0.06,2.0,0.16787,0.16736634075641632,0.16787
25,OH,CH2,3.58,2.57,11.71,6.5,0.5,0.02,1.0,,0.2483925223350525,0.2483925223350525
26,OH,CH3,3.38,2.55,11.43,7.0,0.53,0.05,0.0,,0.14705532789230347,0.14705532789230347
27,OH,S,10.25,2.7,11.69,6.5,0.24,-0.55,1.0,,0.24825255572795868,0.24825255572795868
28,OH,SH,6.5,2.61,11.72,7.0,0.43,-0.2,0.0,,0.2259209156036377,0.2259209156036377
29,OH,SH2,5.25,2.57,11.74,7.5,0.49,-0.08,-1.0,0.32325,0.32263490557670593,0.32325
30,OH,F,6.75,3.4,15.22,7.0,-1.16,-0.16,0.0,0.23116,0.2305133044719696,0.23116
31,OH,Cl,10.75,2.99,13.0,7.0,-0.34,-0.51,0.0,,0.26864176988601685,0.26864176988601685
